Country,Year,id,idn,lisrpr_tot,pre_tot,pre_gini,post_gini,lowpay,p90p50,p50p10,p90p50v2,p50p10v2,sstran,socx_pub,hlpub,totheal,phealgdp,daycare,health_pub,family_pub,almp_pub,socx_pub_1,rd,rdbus,rdgov,rdhed,rdpnp,rdperbus,rdpergov,rdperhed,rdperpnp,ud,smbe,rrly_23,rr45y_23,tcemp,agempn,inempn,srempn,ep,epl,epl_Allard,oecd_epl,p1564,po65,tfr,rgdpecap,poppwt,tradeopen,ckaopen,export,import,mil,debt,etcragg,fed,pres,singmemd,strbic,referen,judrev,authleg,cons_struc_cum,huber1993,leftcum,cncum,cncrcum,cnctcum,rtcum,unemr,Witt_Jackson_coordination_ex,gov_right1,gov_cent1,gov_left1,gov_party,instcons,structur,kaopen,empratio,sstran1,prefisc_gini,pretran_gini,postfisc_gini,elderly,eu,emu,socexp_t_pmp,CCODE,ISOCODE,TOTGEN,UEGEN,SKGEN,PGEN,cc1,dGDPc,hc,Inflation,Exp,csh_i,csh_g,LGDPc1971,Plurality,MDMH,LEFTC,Deprat,IntDemand,FCrisis,HK_COOR_1,sHK_COOR_1,sHG_COOR,HK_COOR_5,sHK_COOR_5,TOTGEN_5,sTOTGEN_5,Tradeopen,dhc,rGDPc,avh,emp_mio,rgdpna,pop_mio,COOR_INSTRUMENT,Kenworthy_Coherence,HG_LR,HG_CG,HG_COOR,rtfpna,hc_2,emp_workage,p15_64,TOTGEN_INSTRUMENT,rgdpnaavh,rgdpnaemp,logrgdpnaavh,logrgdpnaemp,logemp_mio,hc71,cc,economic_globalization,actual_flows,restrictions,social_globalization,personal_contact,information_flows,cultural_proximity,political_globalization,overall_globalization_index,coid,lg1deind,lg1caplib,lg1employerorg,lg1medvoter,employerorg,macrocorp,lg1macrocorp,lg1statecapacity,lg1aunmem,tmpempl,involpt,ltunem12,lg1worldgrowop,unionorg,cenbar,aunmem,conp1,conp2,conp3,conp4,labpolm,empfed,emppow,emppolm,pursup,comfrm,invfrm,labmanc,trecgdp,govempte,flfp,Witt_Jackson_coordination,occuptrain,iso,Corp_Jahn_add,Cor_Jahn_fac,Corp_Jahn_sm_add,Corp_Jahn_sm_fac,z_Corp_Jahn_sm_add,z_Corp_Jahn_sm_fac,daycare1,family_pub1,lisrpr_tot1,pre_tot1,pre_gini1,post_gini1,lowpay1,p90p501,p50p101,p90p50v21,sstran_1,socx_pub1,coid1,coid2,coid3,coid4,coid5,coid6,coid7,coid8,coid9,coid10,coid11,coid12,coid13,coid14,coid15,coid16,coid17,coid18,tmpempl1,involpt1,ltunem121,lg1worldgrowop1,unionorg1,cenbar1,flfp1,Witt_Jackson_coordination1,occuptrain1,lg1deind1,lg1caplib1,lg1employerorg1,lg1medvoter1,employerorg1,macrocorp1,lg1macrocorp1,lg1statecapacity1,lg1aunmem1,prefisc_gini1,pretran_gini1,postfisc_gini1,TOTGEN1,UEGEN1,SKGEN1,PGEN1,po651,ckaopen1,export1,import1,debt1,etcragg1,kaopen1,smbe1,rrly_231,rr45y_231,ep1,epl1,epl_Allard1,oecd_epl1,rd1,rdbus1,rdgov1,rdhed1,rdpnp1,rdperbus1,rdpergov1,rdperhed1,rdperpnp1,socx_pub_11,almp_pub1,health_pub1,dum1980,dum1981,dum1982,dum1983,dum1984,dum1985,dum1986,dum1987,dum1988,dum1989,dum1990,dum1991,dum1992,dum1993,dum1994,dum1995,dum1996,dum1997,dum1998,dum1999,dum2000,dum2001,dum2002,dum2003,dum2004,dum2005,dum2006,dum2007,dum2008,dum2009,dum2010,dum2011
Australia,1980,AUL,1,,,,,13.5403,1.6954,1.6691,1.695424214,1.669053302,6.308977986,10.34058466,5868.53,9368.629999999999,3.816557734,.027899717,3.816538224,.934477937,,10.34058466,,,,,,,,,,48.48657368,,,,6284.27,407,1939,3935,.5,.3,.4,,9571.084999999999,1413.277,1.891,19705.86699,14709.918,31.64659162,-.0715995,22637,23816,2.462665756,,4.052357,1,0,1,2,0,1,1,6,4,6.833,0,0,0,28.167,6.105158601,.24,100,0,0,1,3,4,.41,65.66,6.37,,,,9.619999999999999,0,0,10.25,1,36,20.5,7.2,6.4,6.9,31,2.184342121,3.256988287,10.1,38341307359,.307123899,.125489235,5.402350248,1,.899999976,0,53.55017366,59.01135398,0,.13,-1.057250793,-.6231789760000001,.2,-.882724957,20.2,-1.49740105,31.64659162,.000278234,22104.88189,1814.78,6.327039242,325161,14.709918,0,.5,.29,.47,.36,.815385699,3.21336031,.66105768,9.571085,3.849405399,179.1737842,51392.28438,3.902955706,10.27825467,1.717625601,2.992861986,AUS,48.71,44.19,53.23,76.06999999999999,63.22,77.61,87.83,85.20999999999999,68.55,1,75.63641,53.125,.2187403,42.31,.0849162,.2854546,.2789476,-.5495942,49.86826,,,19.9,138.5423,.0232101,4,49.89777,0,0,0,0,.87,1,0,.88,0,0,0,0,30.652,25.99347,51.9,,,36,-.23597568,-.46143165,-.18830737,-.40203449,-.2810075784672713,-.41721851,.027899717,.934477937,11.166,22.05819250000002,34.33875000000001,26.92849999999999,13.5403,1.6954,1.6691,1.695424214,6.308977986,10.34058466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.519999999999982,3,19.9,138.5423,.0232101,4,51.9,.3900000000000006,.07,75.63641,53.125,.2187403,42.31,.0849162,.2854546,.2789476,-.5495942,49.86826,35.50000000000023,32.52500000000032,26.52500000000009,20.5,7.2,6.4,6.9,1413.277,-.0715995,22637,23816,25.8640687799998,4.052357,.41,.2210416674999998,.2604166669999999,.2650000005000002,.5,.3,.4,.94,.853679018333338,.1454423846666657,.636164009333335,-.0021280166666671,.0184065863333334,.2177533869999984,.4033500016666667,.2438784856666665,.0096035856666665,10.34058466,.5474855080000083,3.816538224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1981,AUL,1,11.285,22.49716,34.78,27.099,13.9341,1.7136,1.6764,1.713619007,1.676386913,6.302395463,10.18051946,6545.01,10700.6,3.689886513,.026722743,3.689880875,.974365335,,10.18051946,.893576958,.180068442,.6507044320000001,.000225508,.018153425,.223591559,.40309623,.255106355,.011782813,47.41179739,.221805556,.261666667,.266666667,6416.457,416,1935,4043,.5,.3,.4,,9742.721,1454.999,1.935,20401.40294,14901.61,30.38132411,-.0715995,22622,27012,2.454181771,,4.052357,1,0,1,2,0,1,1,6,4,6.833,0,0,0,29.167,5.783630249,.24,100,0,0,1,3,4,.41,65.86,6.36,36.2,33.1,26.8,9.75,0,0,10.12,1,36,20.5,7.2,6.3,7,32,1.910011517,3.257009983,9.5,36177479044,.321791679,.123320982,5.402350248,1,.899999976,0,52.98762037,24.33607968,0,.13,-1.057250793,-.6231789760000001,.13,-1.091773354,21,-1.38873726,30.38132411,-.030097723,22527.08768,1814.78,6.406192303,335689.875,14.90161,0,.5,.29,.47,.36,.825231493,3.232604742,.657536257,9.742721,3.849405399,184.9755204,52400.84267,3.902955706,10.27825467,1.717625601,2.992861986,AUS,49.7,42.82,56.57,76.28,63.43,77.61,88.27,84.73,68.84999999999999,1,75.48846,53.125,.0849162,39.67,.0849162,.2817658,.2854546,-.4899938,49.89777,,,21,42.81985,.0121436,4,49.24235,0,0,0,0,.87,1,0,.88,0,0,0,0,30.319,25.78906,51.7,,,36,-.057375584,-.34522188,-.16195017,-.38990942,-.239174801288729,-.40413299,.026722743,.974365335,11.285,22.49716,34.78,27.099,13.9341,1.7136,1.6764,1.713619007,6.302395463,10.18051946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.579999999999984,3.199999999999989,21,42.81985,.0121436,4,51.7,.379999999999999,.07,75.48846,53.125,.0849162,39.67,.0849162,.2817658,.2854546,-.4899938,49.89777,36.2,33.1,26.8,20.5,7.2,6.3,7,1454.999,-.0715995,22622,27012,27.8909771399999,4.052357,.41,.221805556,.261666667,.266666667,.5,.3,.4,.94,.893576958,.180068442,.6507044320000001,.000225508,.018153425,.223591559,.40309623,.255106355,.011782813,10.18051946,.5082014400000077,3.689880875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1982,AUL,1,,,,,13.5849,1.75,1.6746,1.75,1.674593242,7.176331981,11.14433826,7076.38,12013.57,3.705395994,.034035869,3.705406467,1.153030501,,11.14433826,,,,,,,,,,47.52526561,,,,6414.892,410,1883,4086,.5,.3,.4,,9940.493,1498.768,1.929,19630.92781,15109.659,29.2406468,-.0715995,25621,30755,2.55148056,,4.052357,1,0,1,2,0,1,1,6,4,6.833,0,0,0,30.167,7.162635421,.24,100,0,0,1,3,4,.41,64.53,7.24,,,,9.869999999999999,0,0,11.1,1,36,20.4,7.1,6.3,7,33,-3.659472373,3.257031679,11.4,36455927826,.279776305,.129534662,5.402350248,1,.899999976,0,52.47911725,10.99209327,0,.06,-1.265920964,-.6231789760000001,.13,-1.091773354,21.2,-1.361571313,29.2406468,-4.44000000000e-16,21702.71513,1804.15,6.395645142,327920.625,15.109659,0,.5,.29,.47,.36,.800886154,3.251964808,.643393154,9.940493,3.849405399,181.7590694,51272.48584,3.902955706,10.27825467,1.717625601,2.992861986,AUS,49.52,41.51,57.52,76.28,63.43,77.61,88.27,84.70999999999999,68.78,1,75.86986,56.25,.0849162,37.03,.0849162,.2903181,.2817658,-.5231923000000001,49.24235,,,19,4.769742,.0378007,4,50.7619,0,0,0,0,.87,1,0,.88,0,0,0,0,31.571,25.99973,51.3,,,36,-.018672667,-.28866762,-.12838598,-.36725324,-.1859034638978318,-.37968218,.034035869,1.153030501,11.404,22.9361275,35.22124999999994,27.26949999999999,13.5849,1.75,1.6746,1.75,7.176331981,11.14433826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.639999999999986,3.400000000000034,19,4.769742,.0378007,4,51.3,.370000000000001,.07,75.86986,56.25,.0849162,37.03,.0849162,.2903181,.2817658,-.5231923000000001,49.24235,36.89999999999986,33.67499999999973,27.07499999999993,20.4,7.1,6.3,7,1498.768,-.0715995,25621,30755,29.91788549999956,4.052357,.41,.2225694445000002,.2629166670000003,.2683333334999998,.5,.3,.4,.94,.933474897666656,.2146944993333477,.6652448546666676,.0025790326666666,.0179002636666666,.2294297310000015,.4028424583333333,.2663342243333311,.0139620403333334,11.14433826,.4689173720000071,3.705406467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1983,AUL,1,,,,,14.5804,1.7059,1.6971,1.705902778,1.697112552,7.381600082,11.67839602,8498.370000000001,13517.51,3.945133557,.03546659,3.945147483,1.181399538,,11.67839602,,,,,,.235267903,,,,47.92777851,.223333333,.264166667,.27,6300.37,411,1750,4080,.5,.3,.4,,10106.71,1535.76,1.924,20482.01925,15332.79,28.56795333,-.0715995,26651,29609,2.737629402,,4.052357,1,0,1,2,0,1,1,6,4,7.666,0,0,0,30.334,9.961372845,.24,18.9,0,81.09999999999999,4,3,4,.41,62.34,7.44,,,,9.98,0,0,11.59,1,36,20.7,7.2,6.4,7.1,34,3.221570876,3.257053375,10,36098990448,.289992362,.127078548,5.402350248,1,.899999976,83.3,52.01169963,53.43125035,0,.06,-1.265920964,-.6231789760000001,.13,-1.091773354,21.2,-1.361571313,28.56795333,4.44000000000e-16,22401.88348,1789.65,6.29425621,343483.375,15.33279,0,.5,.29,.47,.36,.84160322,3.271440506,.622779936,10.10671,3.849405399,191.9276814,54570.92364,3.902955706,10.27825467,1.717625601,2.992861986,AUS,51.67,43.77,59.58,76.41,63.39,77.61,88.72,84.43000000000001,69.54000000000001,1,76.93159,56.25,.0849162,38.08,.0849162,.5410232,.2903181,-.4388216,50.7619,,,27.5,3.277114,.0318232,5,50.40788,0,0,0,0,.87,1,0,.88,0,0,0,0,31.501,27.0012,51.5,,,36,-.13417253,-.24549307,-.12079385,-.34015894,-.1738536368738404,-.35044166,.03546659,1.181399538,11.523,23.37509499999999,35.66250000000002,27.44,14.5804,1.7059,1.6971,1.705902778,7.381600082,11.67839602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699999999999989,3.600000000000023,27.5,3.277114,.0318232,5,51.5,.3599999999999994,.07,76.93159,56.25,.0849162,38.08,.0849162,.5410232,.2903181,-.4388216,50.7619,37.59999999999991,34.24999999999977,27.34999999999991,20.7,7.2,6.4,7.1,1535.76,-.0715995,26651,29609,31.94479385999966,4.052357,.41,.223333333,.264166667,.27,.5,.3,.4,.94,.9733728373333292,.2493205566666745,.6797852773333339,.0049325573333334,.0176471023333333,.235267903,.4025886866666667,.2775620936666634,.0161412676666668,11.67839602,.4296333040000064,3.945147483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1984,AUL,1,,,,,14.4458,1.6862,1.7116,1.686173633,1.711612548,7.206903668,12.05341161,10555.2,14924.04,4.445436512,.050412948,4.445436512,1.159160879,,12.05341161,1.013270777,.283946614,.6943257000000001,.007286082,.017393941,.303783287,.402334915,.288789963,.018320495,47.26327162,,,,6493.853,400,1806,4260,.5,.3,.6,,10269.8,1573.786,1.84,21001.9392,15567.927,32.53517598,1.180018,31672,36549,2.653301269,,4.052357,1,0,1,2,0,1,1,6,4,8.666,0,0,0,30.334,8.986809936,.24,0,0,100,5,3,4,.47,63.23,7.27,,,,10.1,0,0,11.97,1,36,21.1,7.4,6.5,7.2,35,3.476143739,3.257075071,4,39794035394,.306877732,.128168955,5.402350248,1,.899999976,100,51.56568347,105.3532838,0,.2,-.848580622,-.6231789760000001,.13,-1.091773354,21.2,-1.361571313,32.53517598,0,23180.60515,1805.11,6.518253803,360873.9688,15.567927,0,.5,.29,.47,.36,.853237212,3.291033268,.634701143,10.2698,3.849405399,199.9179933,55363.59579,3.902955706,10.27825467,1.717625601,2.992861986,AUS,53.17,44.93,61.42,76.31999999999999,63.11,77.61,88.72,83.44,69.79000000000001,1,78.61878,68.75,.0849162,39.14,.0849162,.5355037,.5410232,-.3700745,50.40788,,,31.2,46.43441,.0152649,5,49.42721,0,0,0,0,.87,1,0,.88,0,0,0,0,33.046,26.79193,52.2,,,36,.63044578,.50155687,.036849864,-.16785146,.0763502311642838,-.16448537,.050412948,1.159160879,11.642,23.81406249999998,36.10374999999999,27.6105,14.4458,1.6862,1.7116,1.686173633,7.206903668,12.05341161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.759999999999991,3.800000000000011,31.2,46.43441,.0152649,5,52.2,.3500000000000014,.07,78.61878,68.75,.0849162,39.14,.0849162,.5355037,.5410232,-.3700745,50.40788,38.29999999999996,34.82499999999982,27.625,21.1,7.4,6.5,7.2,1573.786,1.180018,31672,36549,33.97170221999977,4.052357,.47,.2291666664999994,.2708333334999988,.2766666664999988,.5,.3,.6,.94,1.013270777,.283946614,.6943257000000001,.007286082,.017393941,.303783287,.402334915,.288789963,.018320495,12.05341161,.3903492360000058,4.445436512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1985,AUL,1,11.761,24.25303,36.545,27.781,13.6783,1.6538,1.6477,1.653753754,1.647699159,7.001094338,12.20255549,11863.06,16806.74,4.523413877,.055822679,4.523429129,1.134489188,.351065168,12.20255549,,,,,,.361436595,.398384803,,.017959346,45.4617105,.235,.2775,.283333333,6697.425,411.641,1831.242,4451.5,.5,.3,.6,.94,10441.74,1621.029,1.923,21281.98139,15812.088,33.13704312,2.426425,38929,45020,2.554549892,,4.052357,1,0,1,2,0,1,1,6,4,9.666,0,0,0,30.334,8.258134297,.24,0,0,100,5,3,4,.82,64.14,7.04,39,35.4,27.9,10.27,0,0,12.05,1,36,21.1,7.4,6.5,7.2,36,2.972205754,3.257096767,6.7,45225890991,.312916398,.130294159,5.402350248,1,.899999976,100,51.1312304,90.99237642,0,.2,-.848580622,-.6231789760000001,.13,-1.091773354,20.5,-1.456652129,33.13704312,0,23869.58043,1795.45,6.75058794,377427.9063,15.812088,0,.5,.29,.47,.36,.860855937,3.310742855,.64650029,10.44174,3.849405399,210.2135433,55910.37546,3.902955706,10.27825467,1.717625601,2.992861986,AUS,54.62,46.93,62.31,76.39,63.31,77.61,88.72,83.92,70.47,1,78.51996,68.75,.0849162,36.75,.0849162,.5400741,.5355037,-.2999808,49.42721,,,30.9,120.3325,.0289759,5,50.23925,0,0,0,0,.87,1,0,.88,0,0,0,0,34.163,26.69716,53.7,,,36,.63541842,.5088231,.21112868,.026199481,.3529564690716013,.044936754,.055822679,1.134489188,11.761,24.25303,36.545,27.781,13.6783,1.6538,1.6477,1.653753754,7.001094338,12.20255549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.819999999999993,4,30.9,120.3325,.0289759,5,53.7,.3399999999999999,.07,78.51996,68.75,.0849162,36.75,.0849162,.5400741,.5355037,-.2999808,49.42721,39,35.4,27.9,21.1,7.4,6.5,7.2,1621.029,2.426425,38929,45020,35.99861057999988,4.052357,.82,.235,.2775,.283333333,.5,.3,.6,.94,1.091989460999997,.3613355664999745,.6935554050000001,.0084038534999999,.0184965994999997,.361436595,.398384803,.2975923709999968,.017959346,12.20255549,.351065168,4.523429129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1986,AUL,1,,,,,13.832,1.7073,1.6792,1.707303371,1.679245283,6.84792505,12.05420376,13234.59,19059.35,4.599080503,.058068014,4.599083978,1.036050124,.3117811,12.05420376,1.170708145,.438724519,.69278511,.009521625,.019599258,.4448406,.401333028,.306394779,.018348241,43.90202112,,,,6974.489,424.194,1849.921,4662.2,.5,.3,.6,.94,10636.72,1682.111,1.868,21371.38754,16066.496,32.6386092,2.426425,40981,47976,2.409489479,,4.052357,1,0,1,2,0,1,1,6,4,10.666,0,0,0,30.334,8.080566060000001,.24,0,0,100,5,3,4,.88,65.56999999999999,6.88,,,,10.5,0,0,11.88,1,36,21.5,7.5,6.6,7.3,37,.994794989,3.259851933,9.1,42484574043,.296453267,.136283487,5.402350248,1,.899999976,100,50.69667492,72.02549682,0,.2,-.848580622,-.6231789760000001,.06,-1.30082175,20.5,-1.456652129,32.6386092,.00273347,24107.03382,1779.02,7.046724796,387315.5625,16.066496,0,.5,.29,.47,.36,.847793758,3.330570698,.662490391,10.63672,3.849405399,217.712877,54963.91213,3.902955706,10.27825467,1.717625601,2.992861986,AUS,56.43,48.78,64.09,76.78,63.63,77.61,89.62000000000001,83.68000000000001,71.20999999999999,1,78.69182000000001,75,.0849162,34.5,.0849162,.5379454,.5400741,-.2452058,50.23925,,,27.5,92.89837,.0225899,5,49.86104,0,0,0,0,.87,1,0,.88,0,0,0,0,34.885,25.79892,56.1,,,36,.63378155,.50643122,.34936011,.1965301,.5723501697044114,.22875962,.058068014,1.036050124,11.86374999999998,24.41727250000002,36.77024999999998,28.06200000000001,13.832,1.7073,1.6792,1.707303371,6.84792505,12.05420376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.879999999999996,4.199999999999989,27.5,92.89837,.0225899,5,56.1,.3299999999999983,.07,78.69182000000001,75,.0849162,34.5,.0849162,.5379454,.5400741,-.2452058,50.23925,38.90000000000001,35.4,28.09999999999997,21.5,7.5,6.6,7.3,1682.111,2.426425,40981,47976,38.02551893999998,4.052357,.88,.2399999999999984,.2837499999999995,.2900000000000009,.5,.3,.6,.94,1.170708145,.438724519,.69278511,.009521625,.019599258,.4448406,.401333028,.306394779,.018348241,12.05420376,.3117811,4.599083978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1987,AUL,1,,,,,14.2564,1.6813,1.6726,1.681266491,1.67255075,6.612218249,12.22761554,14523.32,21076.82,4.430921494,.063672309,4.430915392,1.221062202,.256580794,12.22761554,1.124287615,.445523108,.636692579,.010739172,.020257984,.444119693,.3635759,.300147664,.016444358,42.35487842,.245,.29,.296666667,7128.735,411.253,1861.9,4846.8,.5,.3,.6,.94,10837.24,1739.287,1.845,22680.13854,16330.369,32.59515315,2.426425,47697,50679,2.186839019,,4.018072,1,0,1,2,0,1,1,6,4,11.666,0,0,0,30.334,8.106390176,.24,0,0,100,5,3,4,.94,65.78,6.67,,,,10.69,0,0,12.11,1,36,21.7,7.6,6.6,7.4,38,3.942263105,3.262609243,8.5,44192545180,.305637538,.134891763,5.402350248,1,.899999976,100,50.27609612,72.35235643999999,0,.2,-.848580622,-.6231789760000001,.06,-1.30082175,20.4,-1.470235102,32.59515315,2.14000000000e-06,25057.39652,1795.45,7.213516235,409196.5313,16.330369,0,.5,.29,.47,.36,.870897949,3.350517273,.665623003,10.83724,3.849405399,227.9075058,56726.36173,3.902955706,10.27825467,1.717625601,2.992861986,AUS,59.02,53.34,64.7,76.75,63.92,76.86,90.06999999999999,83.11,71.99,1,78.78161,75,.0849162,36.44,.0849162,.280362,.5379454,-.2704851,49.86104,,,28.7,94.35187999999999,.0079323,4,48.99293,0,0,0,0,.87,1,0,.88,0,0,0,0,35.53,25.29807,56.9,,,36,.63214475,.50403947,.4795236,.35507151,.7789388641535006,.39985943,.063672309,1.221062202,11.96649999999997,24.58151500000002,36.99549999999999,28.34299999999996,14.2564,1.6813,1.6726,1.681266491,6.612218249,12.22761554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.939999999999998,4.400000000000034,28.7,94.35187999999999,.0079323,4,56.9,.3200000000000003,.07,78.78161,75,.0849162,36.44,.0849162,.280362,.5379454,-.2704851,49.86104,38.79999999999998,35.4,28.30000000000001,21.7,7.6,6.6,7.4,1739.287,2.426425,47697,50679,40.05242729999964,4.018072,.94,.245,.29,.296666667,.5,.3,.6,.94,1.124287615,.445523108,.636692579,.010739172,.020257984,.444119693,.3635759,.300147664,.016444358,12.22761554,.256580794,4.430915392,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1988,AUL,1,,,,,14.5825,1.7186,1.6792,1.718610422,1.679166667,6.126021318,11.53457534,15896.02,23663.79,4.280787647,.057387689,4.280782261,1.293875594,.21535868,11.53457534,1.151658615,.480295368,.623966564,.007863541,.02423694,.484280998,.364173493,.288931259,.014353655,40.35838899,,,,7398.242,430.56,1918.048,5000.6,.5,.3,.6,.94,11041.75,1791.383,1.831,23976.78722,16596.096,32.08441666,2.426425,53488,57209,2.011666047,,4.018072,1,0,1,2,0,1,1,6,4,12.666,0,0,0,30.334,7.225804979,.24,0,0,100,5,3,4,1,67,6.17,,,,10.84,0,0,11.4,1,36,21.9,7.7,6.7,7.5,39,2.248713267,3.265369177,7.2,52073224517,.319380701,.134414747,5.402350248,1,.899999976,100,49.91155217,98.71474195,0,.2,-.848580622,-.6231789760000001,.2,-.882724957,20.7,-1.429486181,32.08441666,2.62000000000e-06,25620.86552,1814.78,7.486357212,425206.3438,16.596096,0,.5,.29,.47,.36,.870336711,3.370583296,.678004593,11.04175,3.849405399,234.3018679,56797.496,3.902955706,10.27825467,1.717625601,2.992861986,AUS,63.55,61.28,65.81999999999999,77.31,64.41,77.61,90.51000000000001,81.79000000000001,73.5,1,79.28394,78.125,.0849162,38.37,.0849162,.2715347,.280362,-.2712019,48.99293,,,28.5,73.46460999999999,-.0185494,4,47.42454,0,0,0,0,.87,1,0,.88,0,0,0,0,34.618,24.09671,58.3,,,36,.62878877,.49913555,.63211584,.50399727,1.021.125.300.780.780,.56058186,.057387689,1.293875594,12.06924999999998,24.74575750000003,37.22075000000001,28.62400000000002,14.5825,1.7186,1.6792,1.718610422,6.126021318,11.53457534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.600000000000023,28.5,73.46460999999999,-.0185494,4,58.3,.3099999999999987,.07,79.28394,78.125,.0849162,38.37,.0849162,.2715347,.280362,-.2712019,48.99293,38.69999999999999,35.4,28.5,21.9,7.7,6.7,7.5,1791.383,2.426425,53488,57209,42.07933565999974,4.018072,1,.245138889,.2908333335000002,.296666667,.5,.3,.6,.94,1.151658615,.480295368,.623966564,.007863541,.02423694,.484280998,.364173493,.288931259,.014353655,11.53457534,.21535868,4.280782261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1989,AUL,1,12.172,24.91,37.446,28.905,14.3622,1.7055,1.6886,1.705504587,1.688613478,6.12110892,11.68641047,17490.77,26170.42,4.285430423,.052677357,4.285437773,1.394063384,.191304561,11.68641047,,,,,,.487498316,,,,39.35569367,.245277778,.291666667,.296666667,7719.769,425.204,2021.413,5276.1,.5,.3,.7,.94,11243,1846.495,1.838,24616.53798,16853.69,32.18307301,2.426425,58636,68414,1.952002352,44.10624402,4.018072,1,0,1,2,0,1,1,6,4,13.666,0,0,0,30.334,6.174988639,.24,0,0,100,5,3,4,1,68.66,6.17,38.6,35.4,28.7,10.98,0,0,11.58,1,36,21.7,7.6,6.6,7.5,40,1.998929504,3.268131256,7.5,60408282338,.307865173,.137291074,5.402350248,1,.899999976,100,49.6553487,90.28889481,0,.2,-.848580622,-.6231789760000001,.2,-.882724957,21.1,-1.375154286,32.18307301,2.14000000000e-06,26133.00856,1809.95,7.799517155,440437.625,16.85369,0,.5,.29,.47,.36,.865860164,3.39076972,.6937220630000001,11.243,3.849405399,243.3424266,56469.85784,3.902955706,10.27825467,1.717625601,2.992861986,AUS,63.3,59.95,66.65000000000001,77.40000000000001,66.95999999999999,75.26000000000001,90.75,83.13,73.79000000000001,1,78.69045,78.125,.0849162,40.51,.0849162,.2621503,.2715347,-.4086374,47.42454,,,23,118.3992,-.0467026,4,45.75716,0,0,0,0,.87,1,0,.88,0,0,0,0,34.018,22.99952,60.1,,,36,.62543279,.49423167,.63111323,.50253218,1.019.534.010.981.420,.55900073,.052677357,1.394063384,12.172,24.91,37.446,28.905,14.3622,1.7055,1.6886,1.705504587,6.12110892,11.68641047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.059999999999988,4.800000000000011,23,118.3992,-.0467026,4,60.1,.3000000000000007,.07,78.69045,78.125,.0849162,40.51,.0849162,.2621503,.2715347,-.4086374,47.42454,38.6,35.4,28.7,21.7,7.6,6.6,7.5,1846.495,2.426425,58636,68414,44.10624402,4.018072,1,.245277778,.291666667,.296666667,.5,.3,.7,.94,1.198055978000014,.496128066499999,.6537432470000013,.0047181925000004,.0281686295000005,.487498316,.3851266250000052,.3032752250000037,.0173526525000005,11.68641047,.191304561,4.285437773,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
