Periods,Units,beta,beta_sd,Type
10,10,2.00210792544299,0.054662142180867,Stationær
30,10,2.00026202286534,0.0294163944370146,Stationær
50,10,1.99954066682051,0.0227566755641815,Stationær
70,10,1.99994319116983,0.0189629692404335,Stationær
100,10,1.99929863319963,0.0152573940249015,Stationær
200,10,1.99849015737883,0.0110209333360055,Stationær
300,10,1.99945877776124,0.00937962810517399,Stationær
400,10,2.00041025933455,0.00772559354748551,Stationær
500,10,1.99998003407318,0.0068688578776988,Stationær
10,30,2.00216069695286,0.0308703891770346,Stationær
30,30,1.99804150743738,0.0172583944524689,Stationær
50,30,1.99988414279896,0.0138161807502607,Stationær
70,30,2.00106834296109,0.0108710185288476,Stationær
100,30,1.999938386639,0.00911596385955534,Stationær
200,30,1.99978524476444,0.0063849620401495,Stationær
300,30,1.99993120708148,0.00517991478242176,Stationær
400,30,2.00003064735824,0.00485190375789412,Stationær
500,30,2.00018154852539,0.00413635715247918,Stationær
10,50,1.99880158606432,0.0244973070947689,Stationær
30,50,1.99976744621526,0.0131852492850932,Stationær
50,50,1.99997528291694,0.00979159181908808,Stationær
70,50,1.9996121427021,0.00862380015740148,Stationær
100,50,2.00005487341184,0.00708106775464589,Stationær
200,50,1.99973403091127,0.00493556018317555,Stationær
300,50,2.00019892230933,0.00404949263233078,Stationær
400,50,1.99988518417461,0.00366900350996012,Stationær
500,50,1.99998857636073,0.00333766017836897,Stationær
10,70,2.0002119839084,0.0201389199505008,Stationær
30,70,1.99902558966041,0.0104833618726428,Stationær
50,70,1.99953099667233,0.00884660381610961,Stationær
70,70,1.99990767459067,0.00718727302787972,Stationær
100,70,2.00002191840425,0.00593875402606315,Stationær
200,70,1.99986957134628,0.0043196374009693,Stationær
300,70,1.99965789959846,0.00355142881937237,Stationær
400,70,1.99983932046012,0.00303120671648032,Stationær
500,70,2.00013863899792,0.00260627535825923,Stationær
10,100,1.99946285747091,0.01672669548817,Stationær
30,100,1.99950142990092,0.00978530636041516,Stationær
50,100,2.00031836263339,0.00702766849647809,Stationær
70,100,2.00040002637763,0.00633195543444897,Stationær
100,100,1.99993366376016,0.00510316343503919,Stationær
200,100,2.00003517419167,0.00385720809048873,Stationær
300,100,2.00016216041611,0.00282784965935598,Stationær
400,100,1.9999960684002,0.00266920279860479,Stationær
500,100,1.99992722698946,0.0022329879102509,Stationær
10,200,2.00046249779381,0.0118603805785459,Stationær
30,200,1.99975603892979,0.00645120127050784,Stationær
50,200,1.99995179206656,0.00492311332135922,Stationær
70,200,2.00013500495339,0.00436226815944867,Stationær
100,200,2.0000488450729,0.0036070116791108,Stationær
200,200,1.99984260819118,0.00251728238346345,Stationær
300,200,1.99995414949643,0.00198966526328325,Stationær
400,200,2.00011858947512,0.00172223051245833,Stationær
500,200,1.99997760898678,0.00154476640033284,Stationær
10,300,2.00009471171924,0.00972449752422384,Stationær
30,300,1.99960622493556,0.0054725557544621,Stationær
50,300,2.00008333531027,0.00413794754043461,Stationær
70,300,1.99977335616604,0.00330870780242173,Stationær
100,300,1.99983001827939,0.003037494336892,Stationær
200,300,2.00015360334682,0.002071336428371,Stationær
300,300,1.99989940336739,0.00164282614275113,Stationær
400,300,1.99997460563516,0.00148885832183634,Stationær
500,300,1.99992725652192,0.00131736290330571,Stationær
10,400,1.99955909232801,0.00810596590530911,Stationær
30,400,1.99999226565977,0.00478478117224162,Stationær
50,400,1.99990533253291,0.00372710600194074,Stationær
70,400,1.99992802864462,0.00288298611516125,Stationær
100,400,1.99985580265153,0.00242878284502906,Stationær
200,400,1.99998134641742,0.00174687777746981,Stationær
300,400,2.00000638909906,0.00148894110400887,Stationær
400,400,1.99999578882954,0.00121336857491791,Stationær
500,400,1.99994915926039,0.00113176157360311,Stationær
10,500,2.00039663900488,0.0078197708911183,Stationær
30,500,2.00012102604281,0.00417522691585902,Stationær
50,500,2.00007813471023,0.00320021225660452,Stationær
70,500,2.00000511322967,0.00253659991996903,Stationær
100,500,2.00007866583323,0.0022161782945258,Stationær
200,500,1.99993534305888,0.00150711011429535,Stationær
300,500,2.00009056998637,0.00129677791361945,Stationær
400,500,1.99998982529637,0.00115286903326227,Stationær
500,500,2.00000644288618,0.000976173678068531,Stationær
10,10,5.73725816719048,1.4166675316256,Begge unit root (1)
30,10,15.7034663317169,4.5048660089447,Begge unit root (1)
50,10,24.8130033717872,7.7649120333513,Begge unit root (1)
70,10,34.4868038061459,10.5168699341051,Begge unit root (1)
100,10,48.7707252022664,15.1104152842648,Begge unit root (1)
200,10,96.152327557604,31.2673307409299,Begge unit root (1)
300,10,144.772438844179,47.9489993432638,Begge unit root (1)
400,10,191.162369296388,64.7871458695599,Begge unit root (1)
500,10,240.722482232437,76.1736090552534,Begge unit root (1)
10,30,6.00346188930899,0.760766871964785,Begge unit root (1)
30,30,15.9364059222735,2.6750941413893,Begge unit root (1)
50,30,25.8292566529419,4.32012348122474,Begge unit root (1)
70,30,35.6163837660239,6.0610326626487,Begge unit root (1)
100,30,50.332378691297,9.12487542338292,Begge unit root (1)
200,30,98.5964749240823,18.6896971042316,Begge unit root (1)
300,30,149.975733993797,26.0571777556218,Begge unit root (1)
400,30,198.785109170509,36.5870600137153,Begge unit root (1)
500,30,247.855389781201,43.8718781133653,Begge unit root (1)
10,50,5.99570242898614,0.637403219558578,Begge unit root (1)
30,50,15.8589718718484,1.99850917662616,Begge unit root (1)
50,50,25.76937097251,3.3154558507987,Begge unit root (1)
70,50,35.844267981778,5.18438659752761,Begge unit root (1)
100,50,50.3063694242543,6.94046380785399,Begge unit root (1)
200,50,99.8040166611281,14.3446605847716,Begge unit root (1)
300,50,148.31392078068,20.7952394347486,Begge unit root (1)
400,50,198.893003430096,28.2223345759961,Begge unit root (1)
500,50,247.13914734514,36.8025355044931,Begge unit root (1)
10,70,5.95581516452698,0.507813857953457,Begge unit root (1)
30,70,15.8615852168358,1.68430774794128,Begge unit root (1)
50,70,25.9313543027044,2.95582916008894,Begge unit root (1)
70,70,35.6763449745599,3.84479706658353,Begge unit root (1)
100,70,50.5586610303734,5.97485600739287,Begge unit root (1)
200,70,99.9285790123481,11.7923586762107,Begge unit root (1)
300,70,149.356100552672,18.4481540136018,Begge unit root (1)
400,70,199.810953182454,24.926332111638,Begge unit root (1)
500,70,249.88168295399,30.2241160826916,Begge unit root (1)
10,100,5.9989883723551,0.45660753387656,Begge unit root (1)
30,100,15.9693809923186,1.50262145506621,Begge unit root (1)
50,100,25.9875188313098,2.30525376086392,Begge unit root (1)
70,100,35.6493323283773,3.47443453760109,Begge unit root (1)
100,100,50.8395633314966,5.04740816947311,Begge unit root (1)
200,100,100.555912699592,9.84135753107319,Begge unit root (1)
300,100,150.320025457986,15.0712778397892,Begge unit root (1)
400,100,199.994559500546,18.5336536068386,Begge unit root (1)
500,100,248.404480374864,25.7500022548029,Begge unit root (1)
10,200,6.01443548651707,0.314121975676598,Begge unit root (1)
30,200,15.9920199418558,0.998035506782118,Begge unit root (1)
50,200,26.0023066515698,1.76685825612543,Begge unit root (1)
70,200,36.0852426893351,2.21765091857585,Begge unit root (1)
100,200,51.1062428575128,3.55600735531495,Begge unit root (1)
200,200,100.943942865452,7.2528201231508,Begge unit root (1)
300,200,149.712261899597,11.0027340232479,Begge unit root (1)
400,200,200.705860633341,14.5168169249632,Begge unit root (1)
500,200,250.439203412262,18.014734073932,Begge unit root (1)
10,300,5.985745628155,0.257162661993006,Begge unit root (1)
30,300,15.9796510517337,0.836284734913112,Begge unit root (1)
50,300,26.0030430911773,1.40723845578496,Begge unit root (1)
70,300,35.7876358341912,1.95202405423258,Begge unit root (1)
100,300,50.9287282904815,2.81326804966043,Begge unit root (1)
200,300,100.941805062761,5.50496675212475,Begge unit root (1)
300,300,150.520150602234,8.93397648706358,Begge unit root (1)
400,300,201.448457609051,12.3228506910177,Begge unit root (1)
500,300,250.202728133072,14.4568649515874,Begge unit root (1)
10,400,5.99024044583491,0.214979759564933,Begge unit root (1)
30,400,16.0136767228877,0.747581346627174,Begge unit root (1)
50,400,25.9887904002497,1.18516507350026,Begge unit root (1)
70,400,36.0534679639367,1.76097136744691,Begge unit root (1)
