Periods,Units,beta,beta_sd,Type
10,10,2.00056280992061,0.0603848950421584,Stationær
30,10,1.99958445259747,0.031424092627644,Stationær
50,10,1.99928272531504,0.0243694970040551,Stationær
70,10,2.00103244727527,0.0195974310209338,Stationær
100,10,1.99983469974776,0.0168879508320465,Stationær
200,10,1.99902429230181,0.0115235862430803,Stationær
300,10,1.99958432840898,0.00968101557651246,Stationær
400,10,2.0001991899696,0.00797853199662592,Stationær
500,10,2.00051440511515,0.00718303524942128,Stationær
10,30,1.99866637313011,0.0304079519340949,Stationær
30,30,2.00013246867605,0.0167319849138129,Stationær
50,30,2.00056613964717,0.0132991801192949,Stationær
70,30,1.99988157293634,0.0107966470765369,Stationær
100,30,1.99944711233542,0.00939016245930852,Stationær
200,30,2.00031808079892,0.00643689867036451,Stationær
300,30,2.00008513874538,0.0051981887732465,Stationær
400,30,2.00044535028462,0.00453760342216255,Stationær
500,30,1.99977303272257,0.00411055069773317,Stationær
10,50,1.99993900744193,0.0219241849447834,Stationær
30,50,2.00036158726552,0.0134868266793723,Stationær
50,50,2.00012874171113,0.0106628210671946,Stationær
70,50,1.99980166092958,0.00834813265941965,Stationær
100,50,2.0000314783375,0.00732751243319558,Stationær
200,50,1.99991405641445,0.00515633676115276,Stationær
300,50,1.99995662516964,0.00408903006159222,Stationær
400,50,1.99997424867058,0.00379528858156374,Stationær
500,50,1.99971113635022,0.00323541742446423,Stationær
10,70,2.00027138515044,0.0202258381343494,Stationær
30,70,2.00022591397486,0.0110284392147723,Stationær
50,70,1.99958257462546,0.00847441390143609,Stationær
70,70,2.00003052430898,0.0074372060148934,Stationær
100,70,1.99969943806879,0.00613267587302051,Stationær
200,70,2.00000589479593,0.00428089103130341,Stationær
300,70,2.00005717045394,0.00340673903889824,Stationær
400,70,1.99995118641166,0.00302341522349554,Stationær
500,70,2.00000034303713,0.00274111833183928,Stationær
10,100,2.00038938835216,0.0163815860781209,Stationær
30,100,2.00031453990436,0.00975041934073244,Stationær
50,100,2.00030155462156,0.00712255175123686,Stationær
70,100,2.00002697255232,0.00619625840655695,Stationær
100,100,1.99987825780867,0.00476193438879314,Stationær
200,100,2.00005109533406,0.00354045834835621,Stationær
300,100,1.99992414721398,0.00277047476294926,Stationær
400,100,2.00000633133721,0.00247767009729891,Stationær
500,100,1.99990762890981,0.00226541164544361,Stationær
10,200,2.00062384341768,0.011739116482428,Stationær
30,200,1.99969820400992,0.00664834511836943,Stationær
50,200,2.00020372790033,0.00517152000310936,Stationær
70,200,2.00003733345926,0.00419700879072318,Stationær
100,200,2.0000267600174,0.00359621279770694,Stationær
200,200,1.99995527597638,0.00248662378178225,Stationær
300,200,1.99995899669054,0.00211535832609458,Stationær
400,200,2.00006710777798,0.00179031672132887,Stationær
500,200,1.99998042485158,0.00162185812963113,Stationær
10,300,2.00030126621921,0.00968293051305469,Stationær
30,300,2.00006759443698,0.00543632658302003,Stationær
50,300,1.99981421879347,0.00412832360208613,Stationær
70,300,2.00006959678014,0.00356762943032307,Stationær
100,300,1.99993680513749,0.00289558725698129,Stationær
200,300,2.00014048379154,0.00193919548031806,Stationær
300,300,2.0000292666068,0.0016067263155407,Stationær
400,300,1.99994683678527,0.0014323337290605,Stationær
500,300,1.99997407334263,0.00127118290761161,Stationær
10,400,1.99979919335405,0.00840001449726066,Stationær
30,400,2.00006193410298,0.00476642519206497,Stationær
50,400,2.00023566494779,0.00366376045114708,Stationær
70,400,2.00002413777256,0.00291562941479486,Stationær
100,400,2.00006614397186,0.00253770387504372,Stationær
200,400,2.00016833566681,0.00183886303889255,Stationær
300,400,2.00005815916506,0.0013927453892558,Stationær
400,400,2.00000179461417,0.00127034894344394,Stationær
500,400,1.99999557515328,0.00113331276027448,Stationær
10,500,2.00035097186303,0.00749546651458507,Stationær
30,500,1.99981069302343,0.0041670560608279,Stationær
50,500,1.99971289188167,0.00315942021558206,Stationær
70,500,2.00004192139597,0.00278222706292719,Stationær
100,500,1.99990456584192,0.00239367740378615,Stationær
200,500,1.99990138617315,0.00163672303030037,Stationær
300,500,1.99999188296628,0.00122583753388807,Stationær
400,500,1.99996884246882,0.00110641052725545,Stationær
500,500,2.00004709899782,0.000968257192861059,Stationær
10,10,5.79496537862161,1.46987345841853,Begge unit root (1)
30,10,15.6143473986584,4.87390545355477,Begge unit root (1)
50,10,24.8431911768508,8.02591562165567,Begge unit root (1)
70,10,33.6322690606071,11.9391112556699,Begge unit root (1)
100,10,48.6495500898129,15.9536899809219,Begge unit root (1)
200,10,96.541949583865,33.3376967825501,Begge unit root (1)
300,10,143.025889759319,49.3024249895278,Begge unit root (1)
400,10,196.066341095282,66.7042472182387,Begge unit root (1)
500,10,236.483946273901,82.1288699951194,Begge unit root (1)
10,30,5.92684568571615,0.827741357686591,Begge unit root (1)
30,30,15.6284608486556,2.68556020702099,Begge unit root (1)
50,30,25.6228063760546,4.67116220637862,Begge unit root (1)
70,30,35.6249847962966,6.3710443195432,Begge unit root (1)
100,30,50.5273814755402,8.98149822566799,Begge unit root (1)
200,30,99.9220687782933,18.7698524818593,Begge unit root (1)
300,30,148.751930288773,26.5769329001881,Begge unit root (1)
400,30,199.926576086805,36.0624945714349,Begge unit root (1)
500,30,248.72372628001,46.3784352487481,Begge unit root (1)
10,50,5.98012556319299,0.62141945932373,Begge unit root (1)
30,50,15.9674995499681,1.99493044106558,Begge unit root (1)
50,50,25.8145908001612,3.45499414871406,Begge unit root (1)
70,50,35.7244305776929,4.74029145884786,Begge unit root (1)
100,50,50.7791538352708,7.12352783366247,Begge unit root (1)
200,50,100.702771247615,13.9516133288752,Begge unit root (1)
300,50,149.493214639892,21.2682178801024,Begge unit root (1)
400,50,202.138917011257,28.6411981872112,Begge unit root (1)
500,50,248.856755050117,35.2169325581163,Begge unit root (1)
10,70,5.99041789057612,0.523192104992055,Begge unit root (1)
30,70,16.0319786192692,1.67913432855276,Begge unit root (1)
50,70,25.6651554836374,3.01442834823656,Begge unit root (1)
70,70,35.9105136139581,3.89384258222088,Begge unit root (1)
100,70,50.5931226297966,5.795056801257,Begge unit root (1)
200,70,100.455216631784,11.8480232086001,Begge unit root (1)
300,70,148.436901382239,17.0431432837906,Begge unit root (1)
400,70,200.147606055202,23.2770542960452,Begge unit root (1)
500,70,248.061041327175,28.5688631775601,Begge unit root (1)
10,100,5.97389154510856,0.450195910924618,Begge unit root (1)
30,100,15.9681983707476,1.45800618981198,Begge unit root (1)
50,100,25.8990190671734,2.60022221296348,Begge unit root (1)
70,100,35.6905775051541,3.37927786249976,Begge unit root (1)
100,100,50.4893378455782,4.99343908858129,Begge unit root (1)
200,100,100.743986055769,10.0591592151736,Begge unit root (1)
300,100,151.040552335187,15.4507140905764,Begge unit root (1)
400,100,198.013052733871,19.530537084514,Begge unit root (1)
500,100,250.558925656095,26.4342367121512,Begge unit root (1)
10,200,5.99758586430361,0.313188373182583,Begge unit root (1)
30,200,15.9289919492811,0.977234970270669,Begge unit root (1)
50,200,25.88476232008,1.69115174136011,Begge unit root (1)
70,200,35.9331226078424,2.43120357053309,Begge unit root (1)
100,200,50.5702323165881,3.48912444011417,Begge unit root (1)
200,200,100.900879778572,7.04083672549865,Begge unit root (1)
300,200,151.03425175779,10.2387498226163,Begge unit root (1)
400,200,200.71679867376,13.4953887967899,Begge unit root (1)
500,200,250.9408114291,18.9433806255172,Begge unit root (1)
10,300,6.00774012643578,0.248254497697105,Begge unit root (1)
30,300,16.0346909367854,0.852563536640047,Begge unit root (1)
50,300,26.0107851572121,1.39238664958826,Begge unit root (1)
70,300,35.9393197791499,2.00084124344622,Begge unit root (1)
100,300,50.8483467463398,2.7067145032269,Begge unit root (1)
200,300,100.578435528983,5.76326547739576,Begge unit root (1)
300,300,150.131837679412,8.72142367210666,Begge unit root (1)
400,300,200.528330118545,11.7571821638746,Begge unit root (1)
500,300,249.990857704444,14.4183183247592,Begge unit root (1)
10,400,5.9918157892828,0.221479567290118,Begge unit root (1)
30,400,15.9738088514972,0.696630520338146,Begge unit root (1)
50,400,26.0976994815154,1.14252898090426,Begge unit root (1)
70,400,36.100904408013,1.58093637945203,Begge unit root (1)
100,400,50.9434731399758,2.41128308577792,Begge unit root (1)
200,400,101.069074427015,4.81443136403567,Begge unit root (1)
300,400,151.309132515385,7.13122330266713,Begge unit root (1)
400,400,201.158052979958,9.67168615186928,Begge unit root (1)
