Periods,Units,beta,beta_sd,Type
10,10,2.00114923053966,0.0511122151021742,Stationær
30,10,1.99956269753118,0.0295106915076044,Stationær
50,10,1.99979363996904,0.0227261118414526,Stationær
70,10,1.99971861079735,0.0184446953136994,Stationær
100,10,2.00075032904833,0.0160840606533288,Stationær
200,10,1.99991101505913,0.0110831318206839,Stationær
300,10,2.00070123755903,0.00974425508391955,Stationær
400,10,2.00022482082903,0.00759712039295746,Stationær
500,10,1.99995080773905,0.00736533447806494,Stationær
10,30,2.00136349134196,0.0285098090856878,Stationær
30,30,2.00061789241956,0.0162022237714143,Stationær
50,30,1.99941687648877,0.0127551004367497,Stationær
70,30,2.00062831857266,0.0109438530126454,Stationær
100,30,1.99960769977057,0.00853954713457329,Stationær
200,30,1.9997872530579,0.00659425909774508,Stationær
300,30,1.99997644477879,0.0051587328795206,Stationær
400,30,2.00000847729782,0.00476804830076491,Stationær
500,30,2.00001419847771,0.00423293565346477,Stationær
10,50,1.99962607698584,0.0228740325842664,Stationær
30,50,1.9998961071119,0.0133059613665456,Stationær
50,50,1.99995665190843,0.0100212877474674,Stationær
70,50,2.00003684478471,0.00842270446146719,Stationær
100,50,2.00014762770038,0.00710953722659196,Stationær
200,50,2.00049023523772,0.00521810218396923,Stationær
300,50,2.00018313995131,0.0040661509278589,Stationær
400,50,1.99994032062549,0.00373751147700144,Stationær
500,50,2.00012706395009,0.00329957015085126,Stationær
10,70,2.00012748123134,0.0191291589643929,Stationær
30,70,1.99953086794302,0.0107298929904499,Stationær
50,70,1.99961767046686,0.00874169685466746,Stationær
70,70,1.99969419675994,0.00748500428327036,Stationær
100,70,1.99971850722813,0.00566580525180018,Stationær
200,70,1.99980304056621,0.00430230328523034,Stationær
300,70,1.9999909554327,0.00335964260954346,Stationær
400,70,1.99978750285921,0.00299102193425481,Stationær
500,70,2.00006817187325,0.00271625340720797,Stationær
10,100,2.0005325934607,0.0165824455417258,Stationær
30,100,1.9999241574902,0.00946096847077797,Stationær
50,100,1.99977894132018,0.00708616173280136,Stationær
70,100,2.00039598807963,0.00619423295867297,Stationær
100,100,2.00034111581307,0.00513989568851924,Stationær
200,100,1.99991974718701,0.00346595439749577,Stationær
300,100,1.99987111899768,0.00299056103894616,Stationær
400,100,1.99985860481973,0.00251940784709542,Stationær
500,100,2.00001510352451,0.00221806394753756,Stationær
10,200,1.99942563654871,0.011114673744858,Stationær
30,200,1.99993620795654,0.00668692606955705,Stationær
50,200,1.99964348015804,0.00514344270034,Stationær
70,200,1.99992421123834,0.00430772908045882,Stationær
100,200,1.9999452285016,0.00344445073374975,Stationær
200,200,2.00001199595845,0.00244055125818035,Stationær
300,200,2.00004002113361,0.00204045032541233,Stationær
400,200,1.99995464511884,0.00182995312258216,Stationær
500,200,2.000014682649,0.00160705552556371,Stationær
10,300,1.99960781396495,0.00911468605454269,Stationær
30,300,2.00000985789702,0.00529928941324764,Stationær
50,300,1.99980639075575,0.00404591123199094,Stationær
70,300,1.99999560026604,0.00351034406524742,Stationær
100,300,2.00024443533358,0.00289343519922763,Stationær
200,300,2.00003474267793,0.0020978523651386,Stationær
300,300,2.00015805643505,0.00174019875887835,Stationær
400,300,2.00002216770397,0.00143412835847346,Stationær
500,300,2.00004723428585,0.00122822305210004,Stationær
10,400,2.00043611928931,0.00784322088117643,Stationær
30,400,2.00000854128756,0.00438736735417777,Stationær
50,400,1.99988884682935,0.00374650845592959,Stationær
70,400,1.99997916087948,0.00292120247680639,Stationær
100,400,2.00017292737311,0.00253128956215567,Stationær
200,400,1.99981461667191,0.00171892328407791,Stationær
300,400,2.00005540606486,0.00142964507661837,Stationær
400,400,2.00001344620173,0.00114903406192827,Stationær
500,400,2.00006819411434,0.00107943846605814,Stationær
10,500,2.00029480993894,0.00678056645380503,Stationær
30,500,1.99977110231478,0.00412107037290761,Stationær
50,500,2.00009288812541,0.0031993615530956,Stationær
70,500,2.00011961784085,0.00272785064088202,Stationær
100,500,1.99997461715733,0.00233093987656028,Stationær
200,500,1.99986106143069,0.00156143088998088,Stationær
300,500,2.00000471562095,0.00125673858127204,Stationær
400,500,2.00002184219279,0.00104175090814725,Stationær
500,500,1.99999311103031,0.00104135226763962,Stationær
10,10,7.10208933586878,0.859721988151598,Begge unit root (1)
30,10,19.8037739617039,2.60414619033979,Begge unit root (1)
50,10,32.7764074327949,4.09436160816942,Begge unit root (1)
70,10,45.0691204165464,5.89991670791952,Begge unit root (1)
100,10,64.7459217645644,8.9371531801424,Begge unit root (1)
200,10,128.477253207758,17.5355642387793,Begge unit root (1)
300,10,192.332000610389,27.3550416775586,Begge unit root (1)
400,10,256.066770465663,34.4779888475682,Begge unit root (1)
500,10,323.64875381953,43.3592605121453,Begge unit root (1)
10,30,7.26180522080016,0.462015868172738,Begge unit root (1)
30,30,20.5477554090615,1.36740745246929,Begge unit root (1)
50,30,33.4628608239533,2.50095363877401,Begge unit root (1)
70,30,46.9379156494732,3.26641046131814,Begge unit root (1)
100,30,66.6353115206651,4.82407879473895,Begge unit root (1)
200,30,132.710868886723,9.57267618835177,Begge unit root (1)
300,30,198.153950058609,14.1363755391472,Begge unit root (1)
400,30,264.461561148144,18.0092599884561,Begge unit root (1)
500,30,330.546777543768,23.1421533014089,Begge unit root (1)
10,50,7.27706682708449,0.358773452704025,Begge unit root (1)
30,50,20.4651202041266,1.04846796715653,Begge unit root (1)
50,50,33.8102936759399,1.72557312834019,Begge unit root (1)
70,50,46.9998412280686,2.36050781727468,Begge unit root (1)
100,50,66.6673805474364,3.49715411498687,Begge unit root (1)
200,50,133.138715379256,6.836386244844,Begge unit root (1)
300,50,199.674853590893,10.8281897350675,Begge unit root (1)
400,50,265.491398952379,13.3767950169255,Begge unit root (1)
500,50,329.966489794977,17.6564513999628,Begge unit root (1)
10,70,7.32534239034179,0.282665005333569,Begge unit root (1)
30,70,20.5914830057538,0.899362689549584,Begge unit root (1)
50,70,33.9058292251656,1.48035820047736,Begge unit root (1)
70,70,47.2569187304756,2.04410178799147,Begge unit root (1)
100,70,66.8916155713062,2.90968322128571,Begge unit root (1)
200,70,133.176637376867,5.76885840856088,Begge unit root (1)
300,70,199.35761743601,9.32649707805896,Begge unit root (1)
400,70,266.136727134539,12.035543044432,Begge unit root (1)
500,70,332.040620293067,14.7432545627957,Begge unit root (1)
10,100,7.30414639757502,0.238698856681966,Begge unit root (1)
30,100,20.5919678727578,0.74833568776222,Begge unit root (1)
50,100,33.920244555913,1.20352807153349,Begge unit root (1)
70,100,47.1854340554914,1.77120462573497,Begge unit root (1)
100,100,67.2011192291017,2.5271984749201,Begge unit root (1)
200,100,133.209119127003,5.05923950204406,Begge unit root (1)
300,100,200.532848090418,7.18376937788486,Begge unit root (1)
400,100,266.087129189453,9.31444582109995,Begge unit root (1)
500,100,333.196652204924,12.0259735326423,Begge unit root (1)
10,200,7.34203646865394,0.163597550843934,Begge unit root (1)
30,200,20.6066266858565,0.475398268333479,Begge unit root (1)
50,200,33.984220293513,0.864705024288065,Begge unit root (1)
70,200,47.3472497541507,1.23379397404192,Begge unit root (1)
100,200,67.2894678071045,1.67714386301289,Begge unit root (1)
200,200,133.867498134373,3.55901918393603,Begge unit root (1)
300,200,200.401713945897,5.16021793244357,Begge unit root (1)
400,200,267.072620576524,6.91808058919489,Begge unit root (1)
500,200,332.987589105763,9.0957762749019,Begge unit root (1)
10,300,7.31595832918176,0.133231321841939,Begge unit root (1)
30,300,20.6597855713533,0.395925532469787,Begge unit root (1)
50,300,33.9576486116467,0.707449660258476,Begge unit root (1)
70,300,47.2902372351861,1.0047331715847,Begge unit root (1)
100,300,67.2279174856215,1.38257480327044,Begge unit root (1)
200,300,133.808656864463,2.82557571051138,Begge unit root (1)
300,300,200.644900112768,4.3225021077706,Begge unit root (1)
400,300,267.781628596079,5.74499822919869,Begge unit root (1)
500,300,334.371342031154,6.9316583321023,Begge unit root (1)
10,400,7.32486488486718,0.112353930068132,Begge unit root (1)
30,400,20.6443345031037,0.347653985672912,Begge unit root (1)
50,400,33.9568762861527,0.563694500574705,Begge unit root (1)
70,400,47.2786864314386,0.83143416913957,Begge unit root (1)
100,400,67.2437898634213,1.23155818766194,Begge unit root (1)
200,400,133.860735833022,2.4431891828674,Begge unit root (1)
300,400,200.370530314765,3.60383490162146,Begge unit root (1)
400,400,267.381604778607,4.97331241506804,Begge unit root (1)
500,400,333.769933009748,6.13150589643367,Begge unit root (1)
10,500,7.32850553585506,0.104448524180441,Begge unit root (1)
30,500,20.6408952147405,0.318884055961061,Begge unit root (1)
50,500,33.9808048979034,0.522370153275702,Begge unit root (1)
70,500,47.3183591232281,0.799969251011202,Begge unit root (1)
100,500,67.2701226434814,1.01059957650704,Begge unit root (1)
200,500,133.939755977118,2.15822217905705,Begge unit root (1)
300,500,200.53805425397,3.29274569189676,Begge unit root (1)
400,500,267.005116818427,4.40014898392939,Begge unit root (1)
500,500,333.876181930938,5.65976706570501,Begge unit root (1)
10,10,1.74913358165973,0.413349473757885,Y unit root (1)
30,10,1.84022558249896,0.421182245086658,Y unit root (1)
50,10,1.84904341486098,0.429119055155462,Y unit root (1)
70,10,1.87101640410278,0.441324719482606,Y unit root (1)
100,10,1.88605038357219,0.432965535797908,Y unit root (1)
200,10,1.88722964705225,0.444820221885963,Y unit root (1)
300,10,1.88076562655863,0.421892506403441,Y unit root (1)
400,10,1.91209928336397,0.461310463205224,Y unit root (1)
500,10,1.90215696430882,0.436304920312432,Y unit root (1)
10,30,1.79152634962658,0.225918395883585,Y unit root (1)
30,30,1.88657390503403,0.245321917142583,Y unit root (1)
50,30,1.9120890968931,0.254461602805116,Y unit root (1)
70,30,1.9352500032164,0.248281679080062,Y unit root (1)
100,30,1.94500160465667,0.269016735282589,Y unit root (1)
200,30,1.97722287829099,0.274352097668507,Y unit root (1)
300,30,1.95441783137263,0.279757523483753,Y unit root (1)
400,30,1.96751311238435,0.244131931452895,Y unit root (1)
500,30,1.96059052126349,0.255741016627763,Y unit root (1)
10,50,1.77342219786089,0.166442397191401,Y unit root (1)
30,50,1.91274736674349,0.198755333826359,Y unit root (1)
50,50,1.94083738233556,0.218028510776317,Y unit root (1)
70,50,1.94940077420642,0.198658030260951,Y unit root (1)
100,50,1.94701317447113,0.211550349589491,Y unit root (1)
200,50,1.96385517675438,0.204348682079778,Y unit root (1)
300,50,1.97907579380772,0.20332514844732,Y unit root (1)
400,50,1.96570392188652,0.195744036188028,Y unit root (1)
500,50,1.97242560712056,0.201028759922947,Y unit root (1)
10,70,1.79420086590125,0.150292438589316,Y unit root (1)
