Periods,Units,beta,beta_sd,Type
10,10,1.99585953111054,0.0513523320718821,Stationær
100,10,2.00115716329084,0.0158873582254013,Stationær
200,10,2.00018623026211,0.0114330668733404,Stationær
10,100,2.00049237252586,0.0146174037775708,Stationær
100,100,1.99972695335493,0.00479878458138704,Stationær
200,100,1.99951251819388,0.003751744592056,Stationær
10,200,2.00186186553947,0.0104300849815058,Stationær
100,200,2.00019971897646,0.00344857912042147,Stationær
200,200,2.00016274321601,0.00247194641565906,Stationær
10,10,6.97287695762282,0.86232048068458,Begge unit root (1)
100,10,63.5878322986918,8.47981035125577,Begge unit root (1)
200,10,131.404393128907,18.2847945248578,Begge unit root (1)
10,100,7.31703665637336,0.235562652403266,Begge unit root (1)
100,100,66.8185109934632,2.483686401848,Begge unit root (1)
200,100,133.132421740211,5.23465570250889,Begge unit root (1)
10,200,7.34812153651786,0.165491369535219,Begge unit root (1)
100,200,67.54112354033,1.53125877472684,Begge unit root (1)
200,200,134.034645352286,3.42305456153316,Begge unit root (1)
10,10,1.65152659475183,0.382287818397594,Y unit root (1)
100,10,1.91581086923495,0.42231367333557,Y unit root (1)
200,10,1.89587325500859,0.415214430965678,Y unit root (1)
10,100,1.78673502401815,0.126646911120467,Y unit root (1)
100,100,1.96710157617082,0.135457245672682,Y unit root (1)
200,100,1.9781400758195,0.158791231858121,Y unit root (1)
10,200,1.78933726723581,0.0942099661763755,Y unit root (1)
100,200,1.96083128280995,0.101777757079886,Y unit root (1)
200,200,2.00755278332522,0.113840255225141,Y unit root (1)
10,10,1.99895630975289,0.0235907310990415,X unit root (1)
100,10,2.00014104618666,0.00250379987519483,X unit root (1)
200,10,2.00010019408048,0.00127123293210026,X unit root (1)
10,100,1.99886313958535,0.00744323708243914,X unit root (1)
100,100,2.00011166468426,0.000684308546677854,X unit root (1)
200,100,1.99998638855915,0.000345082842121934,X unit root (1)
10,200,1.9996649250856,0.00482466080228506,X unit root (1)
100,200,1.99997632042498,0.000542719623076162,X unit root (1)
200,200,1.99997014563753,0.000245340175249967,X unit root (1)
10,10,1.9951581912073,0.162615918549377,Kointegration
100,10,1.99002382030701,0.278614193911204,Kointegration
200,10,2.01680764811527,0.223057067901547,Kointegration
10,100,1.99872609770221,0.049105634032994,Kointegration
100,100,1.99244638414491,0.0795614594925079,Kointegration
200,100,2.00484415334867,0.0709897902102909,Kointegration
10,200,2.00229736606977,0.0360616969396491,Kointegration
100,200,1.99851782828929,0.0522367089927923,Kointegration
200,200,1.99737547817868,0.0534203235517889,Kointegration
10,10,2.00227780462788,0.124279102327002,Y unit root (2)
100,10,2.00002859592989,0.113995314585897,Y unit root (2)
200,10,1.99479603069143,0.124714573442467,Y unit root (2)
10,100,1.99909937138092,0.0398050178972044,Y unit root (2)
100,100,1.99765872508721,0.0357339560280593,Y unit root (2)
200,100,2.00077705748178,0.0314491353058277,Y unit root (2)
10,200,2.00053063363059,0.0266069213870426,Y unit root (2)
100,200,1.99777552916914,0.0257883986135913,Y unit root (2)
200,200,2.00309145537193,0.0256320789595624,Y unit root (2)
10,10,1.99283272634749,0.0357056855127798,X unit root (2)
100,10,2.00030640137389,0.0053502664861855,X unit root (2)
200,10,2.00013377926388,0.00239280256078011,X unit root (2)
10,100,2.00172337821365,0.0105554952510491,X unit root (2)
100,100,1.99996853088543,0.00130984163701808,X unit root (2)
200,100,2.00012216755001,0.000720448341840968,X unit root (2)
10,200,1.99968025894712,0.00825325666922117,X unit root (2)
100,200,1.99995974983902,0.000917213072437369,X unit root (2)
200,200,1.99995473054128,0.000503358738788031,X unit root (2)
