Periods,Units,beta,beta_sd,Type
10,10,1.99986928579924,0.0492402404833427,Stationær
30,10,2.00052286228996,0.0310243731841253,Stationær
50,10,1.99973914132987,0.0226031975602251,Stationær
70,10,1.99977194954256,0.0196777162539097,Stationær
100,10,1.99947279354758,0.0163869928730361,Stationær
200,10,2.00036051385835,0.0116561373837804,Stationær
300,10,2.00039664350943,0.00905578519535119,Stationær
400,10,2.00061146969682,0.00772474323238113,Stationær
500,10,2.00022296602982,0.00706596648441767,Stationær
10,30,2.00020236965932,0.0288936249075725,Stationær
30,30,1.99972076116136,0.0167570127684031,Stationær
50,30,1.99960947936867,0.0130871606400012,Stationær
70,30,2.0002092346003,0.0107322965817977,Stationær
100,30,1.99969322277195,0.00943414829040158,Stationær
200,30,2.00004993352005,0.00636771305148008,Stationær
300,30,2.00005659571023,0.0054825916992511,Stationær
400,30,2.00013135555125,0.00455503637456134,Stationær
500,30,2.0001168871097,0.00411351232767283,Stationær
10,50,1.99841779030663,0.0240429116683465,Stationær
30,50,1.99983527925553,0.0130207685342539,Stationær
50,50,2.00063910041736,0.00957501270682404,Stationær
70,50,2.00052725062866,0.0086461898586658,Stationær
100,50,1.99994617388902,0.00725613316150833,Stationær
200,50,1.99975923987938,0.00475063913820074,Stationær
300,50,2.00017539534491,0.00402125817376527,Stationær
400,50,2.00011111685249,0.00372602410753034,Stationær
500,50,2.00007597091648,0.00318253244946956,Stationær
10,70,1.99945379864374,0.0191459228286313,Stationær
30,70,1.99904196086274,0.0112461554498674,Stationær
50,70,2.00044169626851,0.00801559810465578,Stationær
70,70,2.00043968687696,0.00718279884107506,Stationær
100,70,2.00029203155785,0.00602439972463075,Stationær
200,70,2.00013362154037,0.00409015424333689,Stationær
300,70,1.9998320153954,0.00330281609926702,Stationær
400,70,1.99995754488046,0.00310732842985733,Stationær
500,70,1.99991138965817,0.00256513104609905,Stationær
10,100,2.0000159929051,0.0163799131119424,Stationær
30,100,2.00054060668329,0.00843974970483716,Stationær
50,100,2.00031849948802,0.00701294841097366,Stationær
70,100,1.9995885359794,0.00596310524587131,Stationær
100,100,2.00027033330282,0.00473385235877347,Stationær
200,100,1.9995950649504,0.00352866316492435,Stationær
300,100,1.99984785032636,0.00290108646951363,Stationær
400,100,2.00005302717902,0.00234887804238076,Stationær
500,100,1.99994511587109,0.00216402619285749,Stationær
10,200,2.00104691776002,0.0110900484917648,Stationær
30,200,2.00003020998023,0.00595335668997218,Stationær
50,200,1.99990677694345,0.0049467824827525,Stationær
70,200,1.99936934064686,0.00424091532352792,Stationær
100,200,2.00033208216697,0.00340635555517616,Stationær
200,200,2.00015963928984,0.0025572631454756,Stationær
300,200,1.99996520761341,0.00196099637494167,Stationær
400,200,1.99995363811416,0.00176176348185285,Stationær
500,200,1.99989452008818,0.00155799432141129,Stationær
10,300,1.99956842478644,0.00884886011557886,Stationær
30,300,1.99967720433055,0.0053702020030285,Stationær
50,300,2.00012539230815,0.00411141334011351,Stationær
70,300,2.00005055019742,0.00331185607954603,Stationær
100,300,1.99985032537825,0.0028298095586035,Stationær
200,300,2.00014635281526,0.00212865187503089,Stationær
300,300,2.00008425983222,0.001568583292112,Stationær
400,300,1.99994296253211,0.00141041010175312,Stationær
500,300,1.99992212855246,0.0012401735966234,Stationær
10,400,2.00073966292066,0.00776808577536511,Stationær
30,400,2.00012269492598,0.0045305713665656,Stationær
50,400,1.99984239674132,0.00357461657238592,Stationær
70,400,2.00013693047054,0.00294187183850689,Stationær
100,400,2.00014788333232,0.00255271777616731,Stationær
200,400,2.00005812960349,0.00179499517357826,Stationær
300,400,1.99986670993748,0.00143728199054001,Stationær
400,400,1.99997702385851,0.0013209560568256,Stationær
500,400,1.9999456809253,0.0011811771095528,Stationær
10,500,2.00003232442022,0.00688211977797928,Stationær
30,500,1.99998922542968,0.00416168658502512,Stationær
50,500,1.99985090727659,0.00337588586150811,Stationær
70,500,2.00010982194828,0.00256944461422822,Stationær
100,500,1.99993496120818,0.00221070731875983,Stationær
200,500,1.999867561067,0.00154132248557698,Stationær
300,500,1.99998720635137,0.00132202711117677,Stationær
400,500,1.99997519437147,0.00117381263715984,Stationær
500,500,2.00006668334879,0.000995765784954411,Stationær
10,10,7.07177499043015,0.830155204023657,Begge unit root (1)
30,10,19.9454754931726,2.68044839419265,Begge unit root (1)
50,10,32.8211192855544,4.48926940240529,Begge unit root (1)
70,10,45.4043956971771,6.14486779211228,Begge unit root (1)
100,10,64.8314812121985,9.39191480636739,Begge unit root (1)
200,10,129.632200595764,16.7255752802881,Begge unit root (1)
300,10,192.248692043867,26.6222194434343,Begge unit root (1)
